Indicator Name
Fertilizer consumption (% of fertilizer production)
Fertilizer consumption (kilograms per hectare of arable land)
Agricultural land (sq. km)
Agricultural land (% of land area)
Arable land (hectares)
Arable land (hectares per person)
Arable land (% of land area)
Land under cereal production (hectares)
Permanent cropland (% of land area)
Rural land area where elevation is below 5 meters (sq. km)
Rural land area where elevation is below 5 meters (% of total land area)
Urban land area where elevation is below 5 meters (sq. km)
Urban land area where elevation is below 5 meters (% of total land area)
Land area where elevation is below 5 meters (% of total land area)
Forest area (sq. km)
Forest area (% of land area)
Agricultural irrigated land (% of total agricultural land)
Average precipitation in depth (mm per year)
Land area (sq. km)
Rural land area (sq. km)
Urban land area (sq. km)
Cereal production (metric tons)
Crop production index (2014-2016 = 100)
Food production index (2014-2016 = 100)
Livestock production index (2014-2016 = 100)
Surface area (sq. km)
Cereal yield (kg per hectare)
Trade in services (% of GDP)
"Communications, computer, etc. (% of service imports, BoP)"
"Primary income payments (BoP, current US$)"
Adjusted savings: education expenditure (current US$)
Adjusted savings: education expenditure (% of GNI)
Adjusted savings: carbon dioxide damage (current US$)
Adjusted savings: carbon dioxide damage (% of GNI)
Adjusted savings: net forest depletion (current US$)
Adjusted savings: net forest depletion (% of GNI)
Adjusted savings: consumption of fixed capital (current US$)
Adjusted savings: consumption of fixed capital (% of GNI)
Adjusted savings: mineral depletion (current US$)
Adjusted savings: mineral depletion (% of GNI)
Adjusted savings: energy depletion (current US$)
Adjusted savings: energy depletion (% of GNI)
Adjusted savings: particulate emission damage (current US$)
Adjusted savings: particulate emission damage (% of GNI)
Adjusted savings: natural resources depletion (% of GNI)
Adjusted savings: gross savings (% of GNI)
Adjusted savings: net national savings (current US$)
Adjusted savings: net national savings (% of GNI)
Adjusted net national income (current US$)
Adjusted net national income (constant 2015 US$)
Adjusted net national income (annual % growth)
Adjusted net national income per capita (current US$)
Adjusted net national income per capita (constant 2015 US$)
Adjusted net national income per capita (annual % growth)
"Adjusted net savings, including particulate emission damage (current US$)"
"Adjusted net savings, including particulate emission damage (% of GNI)"
"Adjusted net savings, excluding particulate emission damage (current US$)"
"Adjusted net savings, excluding particulate emission damage (% of GNI)"
Exports as a capacity to import (constant LCU)
Coal rents (% of GDP)
"Inflation, GDP deflator (annual %)"
"Inflation, GDP deflator: linked series (annual %)"
GDP deflator (base year varies by country)
GDP deflator: linked series (base year varies by country)
Discrepancy in expenditure estimate of GDP (current LCU)
Discrepancy in expenditure estimate of GDP (constant LCU)
Gross value added at basic prices (GVA) (current US$)
Gross value added at basic prices (GVA) (current LCU)
Gross value added at basic prices (GVA) (constant 2015 US$)
Gross value added at basic prices (GVA) (constant LCU)
Forest rents (% of GDP)
Mineral rents (% of GDP)
GDP (current US$)
GDP (current LCU)
GDP: linked series (current LCU)
GDP (constant 2015 US$)
GDP growth (annual %)
GDP (constant LCU)
"GDP, PPP (current international $)"
"GDP, PPP (constant 2021 international $)"
Natural gas rents (% of GDP)
GDP per capita (current US$)
GDP per capita (current LCU)
GDP per capita (constant 2015 US$)
GDP per capita growth (annual %)
GDP per capita (constant LCU)
"GDP per capita, PPP (current international $)"
"GDP per capita, PPP (constant 2021 international $)"
Oil rents (% of GDP)
Total natural resources rents (% of GDP)
Gross domestic savings (current US$)
Gross domestic savings (current LCU)
Gross domestic savings (% of GDP)
Gross domestic income (constant LCU)
"GNI, Atlas method (current US$)"
GNI (current US$)
GNI (current LCU)
GNI: linked series (current LCU)
GNI (constant 2015 US$)
GNI growth (annual %)
GNI (constant LCU)
"GNI, PPP (current international $)"
"GNI, PPP (constant 2021 international $)"
"GNI per capita, Atlas method (current US$)"
GNI per capita (current LCU)
GNI per capita (constant 2015 US$)
GNI per capita growth (annual %)
GNI per capita (constant LCU)
"GNI per capita, PPP (current international $)"
"GNI per capita, PPP (constant 2021 international $)"
Gross savings (current US$)
Gross savings (current LCU)
Gross savings (% of GNI)
Gross savings (% of GDP)
Net primary income (Net income from abroad) (current US$)
Net primary income (Net income from abroad) (current LCU)
Net primary income (Net income from abroad) (constant LCU)
Taxes less subsidies on products (current US$)
Taxes less subsidies on products (current LCU)
Taxes less subsidies on products (constant LCU)
Net secondary income (Net current transfers from abroad) (current US$)
Net secondary income (Net current transfers from abroad) (current LCU)
Net secondary income (Net current transfers from abroad) (constant LCU)
Terms of trade adjustment (constant LCU)
DEC alternative conversion factor (LCU per US$)
"Official exchange rate (LCU per US$, period average)"
"PPP conversion factor, GDP (LCU per international $)"
Price level ratio of PPP conversion factor (GDP) to market exchange rate
"PPP conversion factor, private consumption (LCU per international $)"
Adequacy of social protection and labor programs (% of total welfare of beneficiary households)
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)
Coverage of social protection and labor programs (% of population)
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)
Coverage of unemployment benefits and ALMP (% of population)
Coverage of unemployment benefits and ALMP in poorest quintile (% of population)
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population)
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population)
Coverage of unemployment benefits and ALMP in 4th quintile (% of population)
Coverage of unemployment benefits and ALMP in richest quintile (% of population)
Adequacy of social safety net programs (% of total welfare of beneficiary households)
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)
Coverage of social safety net programs (% of population)
Coverage of social safety net programs in poorest quintile (% of population)
Coverage of social safety net programs in 2nd quintile (% of population)
Coverage of social safety net programs in 3rd quintile (% of population)
Coverage of social safety net programs in 4th quintile (% of population)
Coverage of social safety net programs in richest quintile (% of population)
Adequacy of social insurance programs (% of total welfare of beneficiary households)
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)
Coverage of social insurance programs (% of population)
Coverage of social insurance programs in poorest quintile (% of population)
Coverage of social insurance programs in 2nd quintile (% of population)
Coverage of social insurance programs in 3rd quintile (% of population)
Coverage of social insurance programs in 4th quintile (% of population)
Coverage of social insurance programs in richest quintile (% of population)
Real effective exchange rate index (2010 = 100)
"Literacy rate, youth female (% of females ages 15-24)"
"Literacy rate, youth (ages 15-24), gender parity index (GPI)"
"Literacy rate, youth male (% of males ages 15-24)"
"Literacy rate, youth total (% of people ages 15-24)"
"Literacy rate, adult female (% of females ages 15 and above)"
"Literacy rate, adult male (% of males ages 15 and above)"
"Literacy rate, adult total (% of people ages 15 and above)"
"Compulsory education, duration (years)"
"School enrollment, primary (gross), gender parity index (GPI)"
"School enrollment, primary and secondary (gross), gender parity index (GPI)"
"School enrollment, secondary (gross), gender parity index (GPI)"
"School enrollment, tertiary (gross), gender parity index (GPI)"
Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
Primary school age children out-of-school (%)
Female primary school age children out-of-school (%)
Male primary school age children out-of-school (%)
"Preprimary education, duration (years)"
"Pupil-teacher ratio, preprimary"
"School enrollment, preprimary (% gross)"
"School enrollment, preprimary, female (% gross)"
"School enrollment, preprimary, male (% gross)"
"Trained teachers in preprimary education, female (% of female teachers)"
"Trained teachers in preprimary education, male (% of male teachers)"
Trained teachers in preprimary education (% of total teachers)
Primary school starting age (years)
"Primary completion rate, female (% of relevant age group)"
"Primary completion rate, male (% of relevant age group)"
"Primary completion rate, total (% of relevant age group)"
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
"Primary education, duration (years)"
"Primary education, pupils"
"Primary education, pupils (% female)"
"Pupil-teacher ratio, primary"
"School enrollment, primary (% gross)"
"School enrollment, primary, female (% gross)"
"School enrollment, primary, male (% gross)"
"Gross intake ratio in first grade of primary education, female (% of relevant age group)"
"Gross intake ratio in first grade of primary education, male (% of relevant age group)"
"Gross intake ratio in first grade of primary education, total (% of relevant age group)"
"School enrollment, primary (% net)"
"School enrollment, primary, female (% net)"
"School enrollment, primary, male (% net)"
"Net intake rate in grade 1, female (% of official school-age population)"
"Net intake rate in grade 1, male (% of official school-age population)"
Net intake rate in grade 1 (% of official school-age population)
"Over-age students, primary, female (% of female enrollment)"
"Over-age students, primary, male (% of male enrollment)"
"Over-age students, primary (% of enrollment)"
"School enrollment, primary, private (% of total primary)"
"Persistence to grade 5, female (% of cohort)"
"Persistence to grade 5, male (% of cohort)"
"Persistence to grade 5, total (% of cohort)"
"Persistence to last grade of primary, female (% of cohort)"
"Persistence to last grade of primary, male (% of cohort)"
"Persistence to last grade of primary, total (% of cohort)"
"Repeaters, primary, female (% of female enrollment)"
"Repeaters, primary, male (% of male enrollment)"
"Repeaters, primary, total (% of total enrollment)"
"Trained teachers in primary education, female (% of female teachers)"
"Trained teachers in primary education, male (% of male teachers)"
Trained teachers in primary education (% of total teachers)
"Primary education, teachers"
"Primary education, teachers (% female)"
"Adjusted net enrollment rate, primary (% of primary school age children)"
"Adjusted net enrollment rate, primary, female (% of primary school age children)"
"Adjusted net enrollment rate, primary, male (% of primary school age children)"
"Children out of school, primary"
"Children out of school, primary, female"
"Children out of school, female (% of female primary school age)"
"Children out of school, primary, male"
"Children out of school, male (% of male primary school age)"
Children out of school (% of primary school age)
Lower secondary school starting age (years)
"Lower secondary completion rate, female (% of relevant age group)"
"Lower secondary completion rate, male (% of relevant age group)"
"Lower secondary completion rate, total (% of relevant age group)"
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
"Secondary education, duration (years)"
"Secondary education, pupils"
"Secondary education, pupils (% female)"
"Secondary education, general pupils"
"Secondary education, general pupils (% female)"
"Pupil-teacher ratio, lower secondary"
"Pupil-teacher ratio, secondary"
"Pupil-teacher ratio, upper secondary"
"Secondary education, vocational pupils"
"Secondary education, vocational pupils (% female)"
"School enrollment, secondary (% gross)"
"School enrollment, secondary, female (% gross)"
"School enrollment, secondary, male (% gross)"
"School enrollment, secondary (% net)"
"School enrollment, secondary, female (% net)"
"School enrollment, secondary, male (% net)"
"School enrollment, secondary, private (% of total secondary)"
"Progression to secondary school, female (%)"
"Progression to secondary school, male (%)"
Progression to secondary school (%)
"Trained teachers in secondary education, female (% of female teachers)"
"Trained teachers in lower secondary education, female (% of female teachers)"
"Trained teachers in lower secondary education, male (% of male teachers)"
Trained teachers in lower secondary education (% of total teachers)
"Trained teachers in secondary education, male (% of male teachers)"
"Trained teachers in upper secondary education, female (% of female teachers)"
"Trained teachers in upper secondary education, male (% of male teachers)"
Trained teachers in upper secondary education (% of total teachers)
Trained teachers in secondary education (% of total teachers)
"Secondary education, teachers"
"Secondary education, teachers, female"
"Secondary education, teachers (% female)"
"Adolescents out of school, female (% of female lower secondary school age)"
"Adolescents out of school, male (% of male lower secondary school age)"
Adolescents out of school (% of lower secondary school age)
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)"
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
"Pupil-teacher ratio, tertiary"
"School enrollment, tertiary (% gross)"
"School enrollment, tertiary, female (% gross)"
"School enrollment, tertiary, male (% gross)"
"Tertiary education, academic staff (% female)"
"Current education expenditure, primary (% of total expenditure in primary public institutions)"
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)"
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)"
"Current education expenditure, total (% of total expenditure in public institutions)"
"Government expenditure per student, primary (% of GDP per capita)"
Expenditure on primary education (% of government expenditure on education)
"Government expenditure per student, secondary (% of GDP per capita)"
Expenditure on secondary education (% of government expenditure on education)
"Government expenditure per student, tertiary (% of GDP per capita)"
Expenditure on tertiary education (% of government expenditure on education)
"Government expenditure on education, total (% of government expenditure)"
"Government expenditure on education, total (% of GDP)"
"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)"
Proportion of seats held by women in national parliaments (%)
Women Business and the Law Index Score (scale 1-100)
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)"
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)"
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)
Women who believe a husband is justified in beating his wife when she argues with him (%)
Women who believe a husband is justified in beating his wife when she burns the food (%)
Women who believe a husband is justified in beating his wife when she goes out without telling him (%)
Women who believe a husband is justified in beating his wife when she neglects the children (%)
Women who believe a husband is justified in beating his wife (any of five reasons) (%)
Women who believe a husband is justified in beating his wife when she refuses sex with him (%)
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"
Prevalence of anemia among women of reproductive age (% of women ages 15-49)
Prevalence of anemia among children (% of children ages 6-59 months)
Prevalence of anemia among non-pregnant women (% of women ages 15-49)
"Condom use, population ages 15-24, female (% of females ages 15-24)"
"Condom use, population ages 15-24, male (% of males ages 15-24)"
Number of deaths ages 5-9 years
Number of deaths ages 10-14 years
Number of deaths ages 15-19 years
Number of deaths ages 20-24 years
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
Number of infant deaths
"Cause of death, by injury (% of total)"
Number of under-five deaths
"Cause of death, by non-communicable diseases (% of total)"
Number of neonatal deaths
"Probability of dying among children ages 5-9 years (per 1,000)"
"Probability of dying among adolescents ages 10-14 years (per 1,000)"
"Probability of dying among adolescents ages 15-19 years (per 1,000)"
"Probability of dying among youth ages 20-24 years (per 1,000)"
Women's share of population ages 15+ living with HIV (%)
"Prevalence of HIV, total (% of population ages 15-49)"
"Mortality rate, under-5 (per 1,000 live births)"
"Mortality rate, under-5, female (per 1,000 live births)"
"Mortality rate, under-5, male (per 1,000 live births)"
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)"
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)"
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"
"Mortality rate, neonatal (per 1,000 live births)"
Demand for family planning satisfied by modern methods (% of married women with demand for family planning)
"People using at least basic drinking water services, rural (% of rural population)"
"People using at least basic drinking water services, urban (% of urban population)"
People using at least basic drinking water services (% of population)
"People using safely managed drinking water services, rural (% of rural population)"
"People using safely managed drinking water services, urban (% of urban population)"
People using safely managed drinking water services (% of population)
Children (0-14) living with HIV
"Prevalence of HIV, female (% ages 15-24)"
"Prevalence of HIV, male (% ages 15-24)"
Antiretroviral therapy coverage (% of people living with HIV)
Adults (ages 15-49) newly infected with HIV
Children (ages 0-14) newly infected with HIV
Adults (ages 15+) and children (ages 0-14) newly infected with HIV
"Incidence of HIV, all (per 1,000 uninfected population)"
Young people (ages 15-24) newly infected with HIV
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)"
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)"
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)
"Immunization, HepB3 (% of one-year-old children)"
"Immunization, DPT (% of children ages 12-23 months)"
"Immunization, measles (% of children ages 12-23 months)"
"Hospital beds (per 1,000 people)"
"Community health workers (per 1,000 people)"
"Nurses and midwives (per 1,000 people)"
"Physicians (per 1,000 people)"
"Specialist surgical workforce (per 100,000 population)"
"Incidence of malaria (per 1,000 population at risk)"
Use of insecticide-treated bed nets (% of under-5 population)
Children with fever receiving antimalarial drugs (% of children under age 5 with fever)
Number of maternal deaths
Lifetime risk of maternal death (1 in: rate varies by country)
Lifetime risk of maternal death (%)
Prevalence of anemia among pregnant women (%)
Prevalence of current tobacco use (% of adults)
"Prevalence of current tobacco use, females (% of female adults)"
"Prevalence of current tobacco use, males (% of male adults)"
Risk of catastrophic expenditure for surgical care (% of people at risk)
Risk of impoverishing expenditure for surgical care (% of people at risk)
"Number of surgical procedures (per 100,000 population)"
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)"
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)"
"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)"
Pregnant women receiving prenatal care (%)
ARI treatment (% of children under 5 taken to a health provider)
"People using at least basic sanitation services, rural (% of rural population)"
"People using at least basic sanitation services, urban (% of urban population)"
People using at least basic sanitation services (% of population)
Exclusive breastfeeding (% of children under 6 months)
Births attended by skilled health staff (% of total)
Low-birthweight babies (% of births)
Diabetes prevalence (% of population ages 20 to 79)
Female genital mutilation prevalence (%)
"People with basic handwashing facilities including soap and water, rural (% of rural population)"
"People with basic handwashing facilities including soap and water, urban (% of urban population)"
People with basic handwashing facilities including soap and water (% of population)
"Prevalence of underweight, weight for age, female (% of children under 5)"
"Prevalence of underweight, weight for age, male (% of children under 5)"
"Prevalence of underweight, weight for age (% of children under 5)"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
"Maternal mortality ratio (national estimate, per 100,000 live births)"
"People practicing open defecation, rural (% of rural population)"
"People practicing open defecation, urban (% of urban population)"
People practicing open defecation (% of population)
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)
Diarrhea treatment (% of children under 5 who received ORS packet)
"Prevalence of overweight, weight for height, female (% of children under 5)"
"Prevalence of overweight, weight for height, male (% of children under 5)"
"Prevalence of overweight (modeled estimate, % of children under 5)"
"Prevalence of overweight, weight for height (% of children under 5)"
"Mortality rate attributed to unintentional poisoning (per 100,000 population)"
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)"
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)"
"People using safely managed sanitation services, rural (% of rural population)"
"People using safely managed sanitation services, urban (% of urban population)"
People using safely managed sanitation services (% of population)
"Prevalence of stunting, height for age, female (% of children under 5)"
"Prevalence of stunting, height for age, male (% of children under 5)"
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)"
"Prevalence of stunting, height for age (% of children under 5)"
"Suicide mortality rate, female (per 100,000 female population)"
"Suicide mortality rate, male (per 100,000 male population)"
"Suicide mortality rate (per 100,000 population)"
"Mortality caused by road traffic injury (per 100,000 population)"
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)"
"Prevalence of wasting, weight for height, female (% of children under 5)"
"Prevalence of wasting, weight for height, male (% of children under 5)"
"Prevalence of wasting, weight for height (% of children under 5)"
"Prevalence of severe wasting, weight for height, female (% of children under 5)"
"Prevalence of severe wasting, weight for height, male (% of children under 5)"
"Prevalence of severe wasting, weight for height (% of children under 5)"
Tuberculosis treatment success rate (% of new cases)
"Tuberculosis case detection rate (%, all forms)"
"Incidence of tuberculosis (per 100,000 people)"
Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)
Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)
UHC service coverage index
Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)
Newborns protected against tetanus (%)
Current health expenditure (% of GDP)
Current health expenditure per capita (current US$)
"Current health expenditure per capita, PPP (current international $)"
External health expenditure (% of current health expenditure)
External health expenditure per capita (current US$)
"External health expenditure per capita, PPP (current international $)"
Domestic general government health expenditure (% of current health expenditure)
Domestic general government health expenditure (% of GDP)
Domestic general government health expenditure (% of general government expenditure)
Domestic general government health expenditure per capita (current US$)
"Domestic general government health expenditure per capita, PPP (current international $)"
Out-of-pocket expenditure (% of current health expenditure)
Out-of-pocket expenditure per capita (current US$)
"Out-of-pocket expenditure per capita, PPP (current international $)"
Domestic private health expenditure (% of current health expenditure)
Domestic private health expenditure per capita (current US$)
"Domestic private health expenditure per capita, PPP (current international $)"
Income share held by second 20%
Income share held by third 20%
Income share held by fourth 20%
Income share held by highest 20%
Income share held by highest 10%
Proportion of people living below 50 percent of median income (%)
Income share held by lowest 10%
Income share held by lowest 20%
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)
Poverty gap at $2.15 a day (2017 PPP) (%)
Gini index
Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)
Poverty gap at $3.65 a day (2017 PPP) (%)
Multidimensional poverty headcount ratio (UNDP) (% of population)
Multidimensional poverty headcount ratio (World Bank) (% of population)
Poverty headcount ratio at national poverty lines (% of population)
Poverty headcount ratio at societal poverty line (% of population)
Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)
Poverty gap at $6.85 a day (2017 PPP) (%)
Average transaction cost of sending remittances to a specific country (%)
Average transaction cost of sending remittances from a specific country (%)
"Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)"
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"
"Survey mean consumption or income per capita, total population (2017 PPP $ per day)"
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)"
Prosperity gap (average shortfall from a prosperity standard of $25/day)
"Child employment in agriculture, female (% of female economically active children ages 7-14)"
"Child employment in agriculture, male (% of male economically active children ages 7-14)"
Child employment in agriculture (% of economically active children ages 7-14)
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)"
Employment in agriculture (% of total employment) (modeled ILO estimate)
"Employment to population ratio, ages 15-24, female (%) (national estimate)"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)"
"Employment to population ratio, ages 15-24, male (%) (national estimate)"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)"
"Employment to population ratio, ages 15-24, total (%) (national estimate)"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)"
"Employers, female (% of female employment) (modeled ILO estimate)"
"Employers, male (% of male employment) (modeled ILO estimate)"
"Employers, total (% of total employment) (modeled ILO estimate)"
"Self-employed, female (% of female employment) (modeled ILO estimate)"
"Self-employed, male (% of male employment) (modeled ILO estimate)"
"Self-employed, total (% of total employment) (modeled ILO estimate)"
Female share of employment in senior and middle management (%)
"Employment to population ratio, 15+, female (%) (national estimate)"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)"
"Employment to population ratio, 15+, male (%) (national estimate)"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)"
"Employment to population ratio, 15+, total (%) (national estimate)"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)"
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)"
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)"
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)"
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)"
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)"
"Contributing family workers, female (% of female employment) (modeled ILO estimate)"
"Contributing family workers, male (% of male employment) (modeled ILO estimate)"
"Contributing family workers, total (% of total employment) (modeled ILO estimate)"
GDP per person employed (constant 2021 PPP $)
"Employment in industry, female (% of female employment) (modeled ILO estimate)"
"Employment in industry, male (% of male employment) (modeled ILO estimate)"
Employment in industry (% of total employment) (modeled ILO estimate)
"Child employment in manufacturing, female (% of female economically active children ages 7-14)"
"Child employment in manufacturing, male (% of male economically active children ages 7-14)"
Child employment in manufacturing (% of economically active children ages 7-14)
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)"
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)"
"Children in employment, self-employed (% of children in employment, ages 7-14)"
"Child employment in services, female (% of female economically active children ages 7-14)"
"Child employment in services, male (% of male economically active children ages 7-14)"
Child employment in services (% of economically active children ages 7-14)
"Employment in services, female (% of female employment) (modeled ILO estimate)"
"Employment in services, male (% of male employment) (modeled ILO estimate)"
Employment in services (% of total employment) (modeled ILO estimate)
"Children in employment, female (% of female children ages 7-14)"
"Children in employment, male (% of male children ages 7-14)"
"Average working hours of children, study and work, female, ages 7-14 (hours per week)"
"Children in employment, study and work, female (% of female children in employment, ages 7-14)"
"Average working hours of children, study and work, male, ages 7-14 (hours per week)"
"Children in employment, study and work, male (% of male children in employment, ages 7-14)"
"Average working hours of children, study and work, ages 7-14 (hours per week)"
"Children in employment, study and work (% of children in employment, ages 7-14)"
"Average working hours of children, working only, female, ages 7-14 (hours per week)"
"Children in employment, work only, female (% of female children in employment, ages 7-14)"
"Average working hours of children, working only, male, ages 7-14 (hours per week)"
"Children in employment, work only, male (% of male children in employment, ages 7-14)"
"Average working hours of children, working only, ages 7-14 (hours per week)"
"Children in employment, work only (% of children in employment, ages 7-14)"
"Children in employment, total (% of children ages 7-14)"
"Labor force participation rate for ages 15-24, female (%) (national estimate)"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)"
"Labor force participation rate for ages 15-24, male (%) (national estimate)"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)"
"Labor force participation rate for ages 15-24, total (%) (national estimate)"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"
